1.1.1,wifi_remove_tooLow
18.4.0,led_off
18.4.1,led_off_b
18.4.1.1,led_off_b_tooLow
18.4.1.2,led_off_b_tooHigh
18.4.2,led_off_g
18.4.2.1,led_off_g_tooLow
18.4.2.2,led_off_g_tooHigh
18.4.3,led_off_lum
18.4.3.1,led_off_lum_tooLow
18.4.3.2,led_off_lum_tooHigh
18.4.4,led_off_r
18.4.4.1,led_off_r_tooLow
18.4.4.2,led_off_r_tooHigh
18.4.5,led_off_x
18.4.5.1,led_off_x_tooLow
18.4.5.2,led_off_x_tooHigh
18.4.6,led_off_y
18.4.6.1,led_off_y_tooLow
18.4.6.2,led_off_y_tooHigh
18.5.0,led_r
18.5.1,led_r_b
18.5.1.1,led_r_b_tooLow
18.5.1.2,led_r_b_tooHigh
18.5.2,led_r_g
18.5.2.1,led_r_g_tooLow
18.5.2.2,led_r_g_tooHigh
18.5.3,led_r_lum
18.5.3.1,led_r_lum_tooLow
18.5.3.2,led_r_lum_tooHigh
18.5.4,led_r_r
18.5.4.1,led_r_r_tooLow
18.5.4.2,led_r_r_tooHigh
18.5.5,led_r_x
18.5.5.1,led_r_x_tooLow
18.5.5.2,led_r_x_tooHigh
18.5.6,led_r_y
18.5.6.1,led_r_y_tooLow
18.5.6.2,led_r_y_tooHigh
18.6.0,led_w
18.6.1,led_w_b
18.6.1.1,led_w_b_tooLow
18.6.1.2,led_w_b_tooHigh
18.6.2,led_w_g
18.6.2.1,led_w_g_tooLow
18.6.2.2,led_w_g_tooHigh
18.6.3,led_w_lum
18.6.3.1,led_w_lum_tooLow
18.6.3.2,led_w_lum_tooHigh
18.6.4,led_w_r
18.6.4.1,led_w_r_tooLow
18.6.4.2,led_w_r_tooHigh
18.6.5,led_w_x
18.6.5.1,led_w_x_tooLow
18.6.5.2,led_w_x_tooHigh
18.6.6,led_w_y
18.6.6.1,led_w_y_tooLow
18.6.6.2,led_w_y_tooHigh
18.7.0,led_vendor
18.8.0,led_model
19.0.0,mac
19.1.0,mac_tooLow
19.2.0,mac_tooHigh
19.3.0,mac_ok
19.3.1,mac_ok_tooLow
19.3.2,mac_ok_tooHigh
2.0.0,ap
2.1.0,ap_bringup
2.1.1,ap_bringup_tooLow
2.1.1,ap_bringup_2g
2.1.2,ap_bringup_tooHigh
2.1.2,ap_bringup_5gl
2.1.3,ap_bringup_5gh
20.0.0,mmc
20.1.0,mmc_model
20.1.1,mmc_model_tooLow
20.1.2,mmc_model_tooHigh
20.2.0,mmc_vendor
20.2.1,mmc_vendor_tooLow
20.2.2,mmc_vendor_tooHigh
21.0.0,nodeproperty
21.1.0,nodeproperty_board
21.1.1,nodeproperty_board_register
21.1.1.1,nodeproperty_board_register_value
21.1.1.1.1,nodeproperty_board_register_value_tooLow
21.1.1.1.2,nodeproperty_board_register_value_tooHigh
21.2.0,nodeproperty_mac
21.2.1,nodeproperty_mac_tooLow
21.2.2,nodeproperty_mac_tooHigh
21.3.0,nodeproperty_uboot
21.3.1,nodeproperty_uboot_version
21.3.1.1,nodeproperty_uboot_version_tooLow
21.3.1.2,nodeproperty_uboot_version_tooHigh
21.4.0,nodeproperty_unit
21.4.1,nodeproperty_unit_part
21.4.1.1,nodeproperty_unit_part_number
21.4.1.1.1,nodeproperty_unit_part_number_tooLow
21.4.1.1.2,nodeproperty_unit_part_number_tooHigh
22.0.0,power
22.1.0,power_cycle
22.1.1,power_cycle_tooLow
22.1.2,power_cycle_tooHigh
23.0.0,phy
23.1.0,phy_model
23.1.1,phy_model_tooLow
23.1.2,phy_model_tooHigh
23.2.0,phy_status
23.2.1,phy_status_tooLow
23.2.2,phy_status_tooHigh
24.0.0,qsdk
24.1.0,qsdk_version
24.1.1,qsdk_version_tooLow
24.1.2,qsdk_version_tooHigh
25.0.0,ram
25.1.0,ram_stress
25.1.1,ram_stress_tooLow
25.1.2,ram_stress_tooHigh
26.0.0,reboot
26.1.0,reboot_soft
26.1.1,reboot_soft_tooLow
26.1.2,reboot_soft_tooHigh
27.0.0,reduce
27.1.0,reduce_drive
27.1.1,reduce_drive_strength
27.1.1.1,reduce_drive_strength_tooLow
27.1.1.2,reduce_drive_strength_tooHigh
28.0.0,setenv
28.1.0,setenv_eth0
28.1.1,setenv_eth0_tooLow
28.1.2,setenv_eth0_tooHigh
28.2.0,setenv_eth1
28.2.1,setenv_eth1_tooLow
28.2.2,setenv_eth1_tooHigh
28.3.0,setenv_mac
28.3.1,setenv_mac_tooLow
28.3.2,setenv_mac_tooHigh
28.4.0,setenv_sn
28.4.1,setenv_sn_tooLow
28.4.2,setenv_sn_tooHigh
28.5.0,setenv_eth
29.0.0,shop
29.1.0,shop_floor
29.1.1,shop_floor_tooLow
29.1.2,shop_floor_tooHigh
3.0.0,ble
3.1.0,ble_ok
3.1.1,ble_ok_tooLow
3.1.2,ble_ok_tooHigh
3.2.0,ble_rx
3.2.1,ble_rx_per
3.2.1.1,ble_rx_per_2G
3.2.1.1.1,ble_rx_per_2G_tooLow
3.2.1.1.2,ble_rx_per_2G_tooHigh
3.3.0,ble_start
3.3.1,ble_start_tooLow
3.3.2,ble_start_tooHigh
3.4.0,ble_test
3.4.1,ble_test_instrument
3.4.1.1,ble_test_instrument_ok
3.4.1.1.1,ble_test_instrument_ok_tooLow
3.4.1.1.2,ble_test_instrument_ok_tooHigh
3.5.0,ble_tx
3.5.1,ble_tx_power
3.5.1.1,ble_tx_power_2G
3.5.1.1.1,ble_tx_power_2G_tooLow
3.5.1.1.2,ble_tx_power_2G_tooHigh
3.6.0,ble_bringup
3.R1.2402,ble_rx_per_2402
3.R1.2402.H,ble_rx_per_2402_tooHigh
3.R1.2402.L,ble_rx_per_2402_tooLow
3.R1.2405,ble_rx_per_2405
3.R1.2405.H,ble_rx_per_2405_tooHigh
3.R1.2405.L,ble_rx_per_2405_tooLow
3.R1.2442,ble_rx_per_2442
3.R1.2442.H,ble_rx_per_2442_tooHigh
3.R1.2442.L,ble_rx_per_2442_tooLow
3.R1.2480,ble_rx_per_2480
3.R1.2480.H,ble_rx_per_2480_tooHigh
3.R1.2480.L,ble_rx_per_2480_tooLow
3.T1,ble_tx_power
3.T1.2402,ble_tx_power_2402
3.T1.2402.H,ble_tx_power_2402_tooHigh
3.T1.2402.L,ble_tx_power_2402_tooLow
3.T1.2405,ble_tx_power_2405
3.T1.2405.H,ble_tx_power_2405_tooHigh
3.T1.2405.L,ble_tx_power_2405_tooLow
3.T1.2442,ble_tx_power_2442
3.T1.2442.H,ble_tx_power_2442_tooHigh
3.T1.2442.L,ble_tx_power_2442_tooLow
3.T1.2480,ble_tx_power_2480
3.T1.2480.H,ble_tx_power_2480_tooHigh
3.T1.2480.L,ble_tx_power_2480_tooLow
30.0.0,sn
30.1.0,sn_ok
30.1.1,sn_ok_tooLow
30.1.2,sn_ok_tooHigh
31.0.0,spruce
31.1.0,spruce_check
31.1.1,spruce_check_tooLow
31.1.2,spruce_check_tooHigh
32.0.0,temp
32.1.0,temp_tooLow
32.2.0,temp_tooHigh
32.3.0,temp_cpu
32.3.1,temp_cpu_tooLow
32.3.2,temp_cpu_tooHigh
32.3.3,temp_cpu_0
32.3.3.1,temp_cpu_0_tooLow
32.3.3.2,temp_cpu_0_tooHigh
32.3.4,temp_cpu_1
32.3.4.1,temp_cpu_1_tooLow
32.3.4.2,temp_cpu_1_tooHigh
32.3.5,temp_cpu_2
32.3.5.1,temp_cpu_2_tooLow
32.3.5.2,temp_cpu_2_tooHigh
32.3.6,temp_cpu_3
32.3.6.1,temp_cpu_3_tooLow
32.3.6.2,temp_cpu_3_tooHigh
32.3.7,temp_cpu_4
32.3.7.1,temp_cpu_4_tooLow
32.3.7.2,temp_cpu_4_tooHigh
32.3.8,temp_cpu_delta
32.3.8.1,temp_cpu_delta_tooLow
32.3.8.2,temp_cpu_delta_tooHigh
32.4.0,temp_cpu1
32.4.1,temp_cpu1_tooLow
32.4.2,temp_cpu1_tooHigh
33.0.0,test
33.1.0,test_image
33.1.1,test_image_version
33.1.1.1,test_image_version_tooLow
33.1.1.2,test_image_version_tooHigh
34.0.0,thermal
34.1.0,thermal_shutdown
34.1.1,thermal_shutdown_tooLow
34.1.2,thermal_shutdown_tooHigh
35.0.0,usb
35.1.0,usb_aside
35.1.1,usb_aside_tooLow
35.1.2,usb_aside_tooHigh
35.2.0,usb_bside
35.2.1,usb_bside_tooLow
35.2.2,usb_bside_tooHigh
35.3.0,usb_detect
35.3.1,usb_detect_tooLow
35.3.2,usb_detect_tooHigh
35.4.0,usb_fw
35.4.1,usb_fw_tooLow
35.4.2,usb_fw_tooHigh
35.5.0,usb_model
35.5.1,usb_model_tooLow
35.5.2,usb_model_tooHigh
35.6.0,usb_speed
35.6.1,usb_speed_read
35.6.1.1,usb_speed_read_tooLow
35.6.1.2,usb_speed_read_tooHigh
35.6.2,usb_speed_write
35.6.2.1,usb_speed_write_tooLow
35.6.2.2,usb_speed_write_tooHigh
35.6.2.3,usb_console_test
36.0.0,v
36.16.0,v_ubootidle
36.16.1,v_ubootidle_tooLow
36.16.2,v_ubootidle_tooHigh
36.17.0,v_wifi
36.17.1,v_wifi_tooLow
36.17.2,v_wifi_tooHigh
36.T10.0,v_tp10
36.T10.1,v_tp10_dvdd3.3
36.T10.1.1,v_tp10_dvdd3.3_tooLow
36.T10.1.2,v_tp10_dvdd3.3_tooHigh
36.T14.0,v_tp14
36.T14.1,v_tp14_dvdd1.95
36.T14.1.1,v_tp14_dvdd1.95_tooLow
36.T14.1.2,v_tp14_dvdd1.95_tooHigh
36.T17.0,v_tp17
36.T17.1,v_tp17_avdd2.2
36.T17.1.1,v_tp17_avdd2.2_tooLow
36.T17.1.2,v_tp17_avdd2.2_tooHigh
36.T19.0,v_tp19
36.T19.1,v_tp19_sp
36.T19.1.1,v_tp19_sp_dvdd0.912
36.T19.1.1.1,v_tp19_sp_dvdd0.912_tooLow
36.T19.1.1.2,v_tp19_sp_dvdd0.912_tooHigh
36.T22.0,v_tp22
36.T22.1,v_tp22_uart
36.T22.1.1,v_tp22_uart_tx
36.T22.1.1.1,v_tp22_uart_tx_3.3v
36.T22.1.1.1.1,v_tp22_uart_tx_3.3v_tooLow
36.T22.1.1.1.2,v_tp22_uart_tx_3.3v_tooHigh
36.T23.0,v_tp23
36.T23.1,v_tp23_uart
36.T23.1.1,v_tp23_uart_rx
36.T23.1.1.1,v_tp23_uart_rx_3.3v
36.T23.1.1.1.1,v_tp23_uart_rx_3.3v_tooLow
36.T23.1.1.1.2,v_tp23_uart_rx_3.3v_tooHigh
36.T25.0,v_tp25
36.T25.1,v_tp25_uart
36.T25.1.1,v_tp25_usbc_vbus
36.T25.1.1.1,v_tp25_usbc_vbus_tooLow
36.T25.1.1.2,v_tp25_usbc_vbus_tooHigh
36.T25.2,v_tp25_usbc_vbus
36.T25.2.1,v_tp25_usbc_vbus_tooLow
36.T25.2.2,v_tp25_usbc_vbus_tooHigh
36.T26.0,v_tp26
36.T26.1,v_tp26_dvdd1.29
36.T26.1.1,v_tp26_dvdd1.29_mp
36.T26.1.1.1,v_tp26_dvdd1.29_mp_core
36.T26.1.1.1.1,v_tp26_dvdd1.29_mp_core_tooLow
36.T26.1.1.1.2,v_tp26_dvdd1.29_mp_core_tooHigh
36.T26.2,v_tp26_dcin9
36.T26.2.1,v_tp26_dcin9_tooLow
36.T26.2.2,v_tp26_dcin9_tooHigh
36.T37.0,v_tp37
36.T37.1,v_tp37_dvdd1.35
36.T37.1.1,v_tp37_dvdd1.35_ddr
36.T37.1.1.1,v_tp37_dvdd1.35_ddr_tooLow
36.T37.1.1.2,v_tp37_dvdd1.35_ddr_tooHigh
36.T500.0,v_tp500
36.T500.1,v_tp500_dvdd1.8
36.T500.1.1,v_tp500_dvdd1.8_tooLow
36.T500.1.2,v_tp500_dvdd1.8_tooHigh
36.T503.0,v_tp503
36.T503.1,v_tp503_vdd1.05
36.T503.1.1,v_tp503_vdd1.05_napa
36.T503.1.1.1,v_tp503_vdd1.05_napa_tooLow
36.T503.1.1.2,v_tp503_vdd1.05_napa_tooHigh
36.T506.0,v_tp506
36.T506.1,v_tp506_avdd
36.T506.1.1,v_tp506_avdd_5v
36.T506.1.1.1,v_tp506_avdd_5v_5g
36.T506.1.1.1.1,v_tp506_avdd_5v_5g_tooLow
36.T506.1.1.1.2,v_tp506_avdd_5v_5g_tooHigh
36.T507.0,v_tp507
36.T507.1,v_tp507_avdd
36.T507.1.1,v_tp507_avdd_5v
36.T507.1.1.1,v_tp507_avdd_5v_2g
36.T507.1.1.1.1,v_tp507_avdd_5v_2g_tooLow
36.T507.1.1.1.2,v_tp507_avdd_5v_2g_tooHigh
36.T518.0,v_tp518
36.T518.1,v_tp518_sw
36.T518.1.1,v_tp518_sw_rstn
36.T518.1.1.1,v_tp518_sw_rstn_tooLow
36.T518.1.1.2,v_tp518_sw_rstn_tooHigh
36.T524.0,v_tp524
36.T524.1,v_tp524_tsd
36.T524.1.1,v_tp524_tsd_otn
36.T524.1.1.1,v_tp524_tsd_otn_tooLow
36.T524.1.1.2,v_tp524_tsd_otn_tooHigh
36.T532.0,v_tp532
36.T532.1,v_tp532_usbc
36.T532.1.1,v_tp532_usbc_vbus
36.T532.1.1.1,v_tp532_usbc_vbus_tooLow
36.T532.1.1.2,v_tp532_usbc_vbus_tooHigh
36.T60.0,v_tp60
36.T60.1,v_tp60_dvdd_3v3
36.T60.1.1,v_tp60_dvdd_3v3_tooLow
36.T60.1.2,v_tp60_dvdd_3v3_tooHigh
36.T61.0,v_tp61
36.T61.1,v_tp61_vdd_3v3
36.T61.1.1,v_tp61_vdd_3v3_tooLow
36.T61.1.2,v_tp61_vdd_3v3_tooHigh
36.T62.0,v_tp62
36.T62.1,v_tp62_avdd_2g
36.T62.1.1,v_tp62_avdd_2g_tooLow
36.T62.1.2,v_tp62_avdd_2g_tooHigh
36.T63.0,v_tp63
36.T63.1,v_tp63_tsd
36.T63.1.1,v_tp63_tsd_tooLow
36.T63.1.2,v_tp63_tsd_tooHigh
36.T64.0,v_tp64
36.T64.1,v_tp64_dvdd_1v8
36.T64.1.1,v_tp64_dvdd_1v8_tooLow
36.T64.1.2,v_tp64_dvdd_1v8_tooHigh
36.T65.0,v_tp65
36.T65.1,v_tp65_vdd_1v9
36.T65.1.1,v_tp65_vdd_1v9_tooLow
36.T65.1.2,v_tp65_vdd_1v9_tooHigh
36.T66.0,v_tp66
36.T66.1,v_tp66_vdd_ddr
36.T66.1.1,v_tp66_vdd_ddr_tooLow
36.T66.1.2,v_tp66_vdd_ddr_tooHigh
36.T67.0,v_tp67
36.T67.1,v_tp67_vpp_2.48v
36.T67.1.1,v_tp67_vpp_2.48v_tooLow
36.T67.1.2,v_tp67_vpp_2.48v_tooHigh
36.T68.0,v_tp68
36.T68.1,v_tp68_vdd_1v4
36.T68.1.1,v_tp68_vdd_1v4_tooLow
36.T68.1.2,v_tp68_vdd_1v4_tooHigh
36.T69.0,v_tp69
36.T69.1,v_tp69_mp2224
36.T69.1.1,v_tp69_mp2224_tooLow
36.T69.1.2,v_tp69_mp2224_tooHigh
36.T70.0,v_tp70
36.T70.1,v_tp70_vdd_1v8
36.T70.1.1,v_tp70_vdd_1v8_tooLow
36.T70.1.2,v_tp70_vdd_1v8_tooHigh
36.T71.0,v_tp71
36.T71.1,v_tp71_mp1652h
36.T71.1.1,v_tp71_mp1652h_tooLow
36.T71.1.2,v_tp71_mp1652h_tooHigh
36.T72.0,v_tp72
36.T72.1,v_tp72_mp1605_1v05
36.T72.1.1,v_tp72_mp1605_1v05_tooLow
36.T72.1.2,v_tp72_mp1605_1v05_tooHigh
36.T73.0,v_tp73
36.T73.1,v_tp73_vdd_1v05
36.T73.1.1,v_tp73_vdd_1v05_tooLow
36.T73.1.2,v_tp73_vdd_1v05_tooHigh
36.T74.0,v_tp74
36.T74.1,v_tp74_mp1605_2v2
36.T74.1.1,v_tp74_mp1605_2v2_tooLow
36.T74.1.2,v_tp74_mp1605_2v2_tooHigh
36.T80.0,v_tp80
36.T80.1,v_tp80_mb_dvdd1.2
36.T80.1.1,v_tp80_mb_dvdd1.2_tooLow
36.T80.1.2,v_tp80_mb_dvdd1.2_tooHig
37.0.0,verify
37.1.0,verify_tooLow
37.2.0,verify_tooHigh
37.3.0,verify_cct
37.3.1,verify_cct_tooLow
37.3.2,verify_cct_tooHigh
38.0.0,wifi
38.1.0,wifi_bringup
38.1.1,wifi_bringup_tooLow
38.1.2,wifi_bringup_tooHigh
38.10.0,wifi_insert
38.10.1,wifi_insert_tooLow
38.10.2,wifi_insert_tooHigh
38.10.3,wifi_insert_dut
38.10.3.1,wifi_insert_dut_tooLow
38.10.3.2,wifi_insert_dut_tooHigh
38.11.0,wifi_load
38.11.1,wifi_load_tooLow
38.11.2,wifi_load_tooHigh
38.11.3,wifi_load_path
38.11.3.1,wifi_load_path_tooLow
38.11.3.2,wifi_load_path_tooHigh
38.11.3.3,wifi_load_path_loss
38.11.3.3.1,wifi_load_path_loss_tooLow
38.11.3.3.2,wifi_load_path_loss_tooHigh
38.11.3.3.3,wifi_load_path_loss_table
38.11.3.3.3.1,wifi_load_path_loss_table_tooLow
38.11.3.3.3.2,wifi_load_path_loss_table_tooHigh
38.12.0,wifi_ofdma
38.12.1,wifi_ofdma_tx
38.12.1.1,wifi_ofdma_tx_evm
38.12.1.1.1,wifi_ofdma_tx_evm_5GH
38.12.1.1.1.1,wifi_ofdma_tx_evm_5GH_a1
38.12.1.1.1.1.1,wifi_ofdma_tx_evm_5GH_a1_tooLow
38.12.1.1.1.1.2,wifi_ofdma_tx_evm_5GH_a1_tooHigh
38.12.1.1.1.2,wifi_ofdma_tx_evm_5GH_a2
38.12.1.1.1.2.1,wifi_ofdma_tx_evm_5GH_a2_tooLow
38.12.1.1.1.2.2,wifi_ofdma_tx_evm_5GH_a2_tooHigh
38.12.1.2,wifi_ofdma_tx_power
38.12.1.2.1,wifi_ofdma_tx_power_5GH
38.12.1.2.1.1,wifi_ofdma_tx_power_5GH_a1
38.12.1.2.1.1.1,wifi_ofdma_tx_power_5GH_a1_tooLow
38.12.1.2.1.1.2,wifi_ofdma_tx_power_5GH_a1_tooHigh
38.12.1.2.1.2,wifi_ofdma_tx_power_5GH_a2
38.12.1.2.1.2.1,wifi_ofdma_tx_power_5GH_a2_tooLow
38.12.1.2.1.2.2,wifi_ofdma_tx_power_5GH_a2_tooHigh
38.12T1.2412,wifi_ofdma_tx_evm_2412
38.12T1.2412.1,wifi_ofdma_tx_evm_2412_a1
38.12T1.2412.1H,wifi_ofdma_tx_evm_2412_a1_tooHigh
38.12T1.2412.1L,wifi_ofdma_tx_evm_2412_a1_tooLow
38.12T1.2412.2,wifi_ofdma_tx_evm_2412_a2
38.12T1.2412.2H,wifi_ofdma_tx_evm_2412_a2_tooHigh
38.12T1.2412.2L,wifi_ofdma_tx_evm_2412_a2_tooLow
38.12T1.2437,wifi_ofdma_tx_evm_2437
38.12T1.2437.1,wifi_ofdma_tx_evm_2437_a1
38.12T1.2437.1H,wifi_ofdma_tx_evm_2437_a1_tooHigh
38.12T1.2437.1L,wifi_ofdma_tx_evm_2437_a1_tooLow
38.12T1.2437.2,wifi_ofdma_tx_evm_2437_a2
38.12T1.2437.2H,wifi_ofdma_tx_evm_2437_a2_tooHigh
38.12T1.2437.2L,wifi_ofdma_tx_evm_2437_a2_tooLow
38.12T1.2447,wifi_ofdma_tx_evm_2447
38.12T1.2447.1,wifi_ofdma_tx_evm_2447_a1
38.12T1.2447.1H,wifi_ofdma_tx_evm_2447_a1_tooHigh
38.12T1.2447.1L,wifi_ofdma_tx_evm_2447_a1_tooLow
38.12T1.2447.2,wifi_ofdma_tx_evm_2447_a2
38.12T1.2447.2H,wifi_ofdma_tx_evm_2447_a2_tooHigh
38.12T1.2447.2L,wifi_ofdma_tx_evm_2447_a2_tooLow
38.12T1.2452,wifi_ofdma_tx_evm_2452
38.12T1.2452.1,wifi_ofdma_tx_evm_2452_a1
38.12T1.2452.1H,wifi_ofdma_tx_evm_2452_a1_tooHigh
38.12T1.2452.1L,wifi_ofdma_tx_evm_2452_a1_tooLow
38.12T1.2452.2,wifi_ofdma_tx_evm_2452_a2
38.12T1.2452.2H,wifi_ofdma_tx_evm_2452_a2_tooHigh
38.12T1.2452.2L,wifi_ofdma_tx_evm_2452_a2_tooLow
38.12T1.2462,wifi_ofdma_tx_evm_2462
38.12T1.2462.1,wifi_ofdma_tx_evm_2462_a1
38.12T1.2462.1H,wifi_ofdma_tx_evm_2462_a1_tooHigh
38.12T1.2462.1L,wifi_ofdma_tx_evm_2462_a1_tooLow
38.12T1.2462.2,wifi_ofdma_tx_evm_2462_a2
38.12T1.2462.2H,wifi_ofdma_tx_evm_2462_a2_tooHigh
38.12T1.2462.2L,wifi_ofdma_tx_evm_2462_a2_tooLow
38.12T1.5180,wifi_ofdma_tx_evm_5180
38.12T1.5180.1,wifi_ofdma_tx_evm_5180_a1
38.12T1.5180.1H,wifi_ofdma_tx_evm_5180_a1_tooHigh
38.12T1.5180.1L,wifi_ofdma_tx_evm_5180_a1_tooLow
38.12T1.5180.2,wifi_ofdma_tx_evm_5180_a2
38.12T1.5180.2H,wifi_ofdma_tx_evm_5180_a2_tooHigh
38.12T1.5180.2L,wifi_ofdma_tx_evm_5180_a2_tooLow
38.12T1.5180.3,wifi_ofdma_tx_evm_5180_a3
38.12T1.5180.3H,wifi_ofdma_tx_evm_5180_a3_tooHigh
38.12T1.5180.3L,wifi_ofdma_tx_evm_5180_a3_tooLow
38.12T1.5180.4,wifi_ofdma_tx_evm_5180_a4
38.12T1.5180.4H,wifi_ofdma_tx_evm_5180_a4_tooHigh
38.12T1.5180.4L,wifi_ofdma_tx_evm_5180_a4_tooLow
38.12T1.5210,wifi_ofdma_tx_evm_5210
38.12T1.5210.1,wifi_ofdma_tx_evm_5210_a1
38.12T1.5210.1H,wifi_ofdma_tx_evm_5210_a1_tooHigh
38.12T1.5210.1L,wifi_ofdma_tx_evm_5210_a1_tooLow
38.12T1.5210.2,wifi_ofdma_tx_evm_5210_a2
38.12T1.5210.2H,wifi_ofdma_tx_evm_5210_a2_tooHigh
38.12T1.5210.2L,wifi_ofdma_tx_evm_5210_a2_tooLow
38.12T1.5250,wifi_ofdma_tx_evm_5250
38.12T1.5250.1,wifi_ofdma_tx_evm_5250_a1
38.12T1.5250.1H,wifi_ofdma_tx_evm_5250_a1_tooHigh
38.12T1.5250.1L,wifi_ofdma_tx_evm_5250_a1_tooLow
38.12T1.5250.2,wifi_ofdma_tx_evm_5250_a2
38.12T1.5250.2H,wifi_ofdma_tx_evm_5250_a2_tooHigh
38.12T1.5250.2L,wifi_ofdma_tx_evm_5250_a2_tooLow
38.12T1.5250.3,wifi_ofdma_tx_evm_5250_a3
38.12T1.5250.3H,wifi_ofdma_tx_evm_5250_a3_tooHigh
38.12T1.5250.3L,wifi_ofdma_tx_evm_5250_a3_tooLow
38.12T1.5250.4,wifi_ofdma_tx_evm_5250_a4
38.12T1.5250.4H,wifi_ofdma_tx_evm_5250_a4_tooHigh
38.12T1.5250.4L,wifi_ofdma_tx_evm_5250_a4_tooLow
38.12T1.5270,wifi_ofdma_tx_evm_5270
38.12T1.5270.1,wifi_ofdma_tx_evm_5270_a1
38.12T1.5270.1H,wifi_ofdma_tx_evm_5270_a1_tooHigh
38.12T1.5270.1L,wifi_ofdma_tx_evm_5270_a1_tooLow
38.12T1.5270.2,wifi_ofdma_tx_evm_5270_a2
