===================================================================
Start at = 2023-06-13 04:29:57
End test at = 2023-06-13 04:29:57
Status = passed
Version = 1.5.7
Test time = 0.230 s
Final test time = 0.313 s
Station = RUNIN-7586
Localtion = 
HHSN = RYK01Q6
DEVICESN = null
===================================================================
//////////////////////////- ID[0] -//////////////////////////
2023-06-13 04:29:57.255:   ITEM[SocketCheck] - FUNCTION[SocketCheckProxy]
2023-06-13 04:29:57.488:   [PC] Item name: SocketCheck
2023-06-13 04:29:57.488:   [PC] ItemTest: SocketCheck = {"start_time":"2023-06-13 04:29:57","lower_limit":"","cycle_time":"0.227","upper_limit":"","error_code":"","units":"","errorDes":"","test_name":"SocketCheck","finish_time":"2023-06-13 04:29:57","errorcode":"","test_value":"passed","status":"passed"}
2023-06-13 04:29:57.488:   [PC] Format for json data!
2023-06-13 04:29:57.510:   [PC] Save data in: Log/TestLog/json/mlbsn_RYK01Q6__passed_debug_2023-06-13-04-29-57.json ok
2023-06-13 04:29:57.510:   [PC] Connect to ftp!!
2023-06-13 04:29:57.510:   [Config] User: oper
2023-06-13 04:29:57.510:   [Config] PassWord: mfg-oper
2023-06-13 04:29:57.510:   [Config] Host: 10.90.100.168
2023-06-13 04:29:57.511:   [Config] Port: 21
2023-06-13 04:29:57.516:   [PC] Connect to ftp ok!!
2023-06-13 04:29:57.516:   [Config] Local: Log\TestLog\json\mlbsn_RYK01Q6__passed_debug_2023-06-13-04-29-57.json
2023-06-13 04:29:57.516:   [Config] Ftp: data/Trieste/pnname/CCD/debug/2023-06-13/RUNIN-7586/passed/json/mlbsn_RYK01Q6__passed_debug_2023-06-13-04-29-57.json
2023-06-13 04:29:57.563:   [PC] Up file to FTP done!
2023-06-13 04:29:57.564:   ________________________________________________________
2023-06-13 04:29:57.564:   Save file txt!
2023-06-13 04:29:57.564:   [DIR] Log/TestLog/text/mlbsn_RYK01Q6__passed_debug_2023-06-13-04-29-57.txt
2023-06-13 04:29:57.565:   [PC] - add item: SocketCheck
2023-06-13 04:29:57.579:   [PC] - add item: UpLogFTP
//////////////////////////////////////////////////////////////
