2023-02-03 08:15:57.772:   ITEM[reboot_soft] - FUNCTION[RebootSoftProxy]
2023-02-03 08:16:12.780:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:12.781:   [Cmd] ------------------------------------
2023-02-03 08:16:12.781:   [Cmd] ------------------------------------ 3
2023-02-03 08:16:12.782:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:12.816:   [Cmd] 
2023-02-03 08:16:12.816:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:16.778:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:16.779:   [Cmd] Request timed out.
2023-02-03 08:16:16.779:   [Cmd] 
2023-02-03 08:16:16.780:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:16.780:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:16.781:   [Cmd] ------------------------------------
2023-02-03 08:16:16.781:   [Cmd] ------------------------------------ 4
2023-02-03 08:16:16.782:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:16.814:   [Cmd] 
2023-02-03 08:16:16.814:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:20.765:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:20.766:   [Cmd] Request timed out.
2023-02-03 08:16:20.766:   [Cmd] 
2023-02-03 08:16:20.767:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:20.767:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:20.768:   [Cmd] ------------------------------------
2023-02-03 08:16:20.768:   [Cmd] ------------------------------------ 5
2023-02-03 08:16:20.769:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:20.800:   [Cmd] 
2023-02-03 08:16:20.800:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:24.773:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:24.773:   [Cmd] Request timed out.
2023-02-03 08:16:24.773:   [Cmd] 
2023-02-03 08:16:24.773:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:24.773:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:24.773:   [Cmd] ------------------------------------
2023-02-03 08:16:24.774:   [Cmd] ------------------------------------ 6
2023-02-03 08:16:24.774:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:24.814:   [Cmd] 
2023-02-03 08:16:24.814:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:28.766:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:28.766:   [Cmd] Request timed out.
2023-02-03 08:16:28.767:   [Cmd] 
2023-02-03 08:16:28.767:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:28.767:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:28.768:   [Cmd] ------------------------------------
2023-02-03 08:16:28.768:   [Cmd] ------------------------------------ 7
2023-02-03 08:16:28.769:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:28.813:   [Cmd] 
2023-02-03 08:16:28.813:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:32.769:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:32.769:   [Cmd] Request timed out.
2023-02-03 08:16:32.769:   [Cmd] 
2023-02-03 08:16:32.769:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:32.769:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:32.769:   [Cmd] ------------------------------------
2023-02-03 08:16:32.769:   [Cmd] ------------------------------------ 8
2023-02-03 08:16:32.770:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:32.803:   [Cmd] 
2023-02-03 08:16:32.803:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:36.774:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:36.774:   [Cmd] Request timed out.
2023-02-03 08:16:36.775:   [Cmd] 
2023-02-03 08:16:36.775:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:36.776:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:36.776:   [Cmd] ------------------------------------
2023-02-03 08:16:36.776:   [Cmd] ------------------------------------ 9
2023-02-03 08:16:36.777:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:36.814:   [Cmd] 
2023-02-03 08:16:36.814:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:40.764:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:40.765:   [Cmd] Request timed out.
2023-02-03 08:16:40.765:   [Cmd] 
2023-02-03 08:16:40.766:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:40.766:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:40.767:   [Cmd] ------------------------------------
2023-02-03 08:16:40.767:   [Cmd] ------------------------------------ 10
2023-02-03 08:16:40.768:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:40.803:   [Cmd] 
2023-02-03 08:16:40.803:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:44.774:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:44.774:   [Cmd] Request timed out.
2023-02-03 08:16:44.774:   [Cmd] 
2023-02-03 08:16:44.775:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:44.775:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-02-03 08:16:44.775:   [Cmd] ------------------------------------
2023-02-03 08:16:44.775:   [Cmd] ------------------------------------ 11
2023-02-03 08:16:44.775:   [Cmd] Send command: arp -d 192.168.1.1
2023-02-03 08:16:44.813:   [Cmd] 
2023-02-03 08:16:44.813:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-02-03 08:16:44.843:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-02-03 08:16:44.843:   [Cmd] Reply from 192.168.1.1: bytes=32 time=1ms TTL=64
2023-02-03 08:16:44.843:   [Cmd] 
2023-02-03 08:16:44.843:   [Cmd] Ping statistics for 192.168.1.1:
2023-02-03 08:16:44.843:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2023-02-03 08:16:44.843:   [Cmd] Approximate round trip times in milli-seconds:
2023-02-03 08:16:44.843:   [Cmd] Minimum = 1ms, Maximum = 1ms, Average = 1ms
2023-02-03 08:16:44.843:   [Cmd] ------------------------------------
2023-02-03 08:16:44.843:   ****************************************************
2023-02-03 08:16:44.843:   Item name = reboot_soft
2023-02-03 08:16:44.843:   Value = passed
2023-02-03 08:16:44.844:   Test status = passed
2023-02-03 08:16:44.844:   -----------------------------------------------------
2023-02-03 08:16:44.844:   ****************************************************
2023-02-03 08:16:44.844:   TIME[47.071 s] - STATUS[PASSED]
