2022-07-20 07:00:07.444:   ITEM[ram_stress] - FUNCTION[TelnetReadUntilKeyProxy]
2022-07-20 07:12:04.130:   [Telnet] 2021/11/18-05:56:00(UTC) Log: Seconds remaining: 470
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:56:10(UTC) Log: Seconds remaining: 460
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:56:20(UTC) Log: Seconds remaining: 450
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:56:30(UTC) Log: Seconds remaining: 440
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:56:40(UTC) Log: Seconds remaining: 430
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:56:50(UTC) Log: Seconds remaining: 420
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:57:00(UTC) Log: Seconds remaining: 410
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:57:10(UTC) Log: Seconds remaining: 400
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:57:20(UTC) Log: Seconds remaining: 390
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:57:30(UTC) Log: Seconds remaining: 380
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:57:40(UTC) Log: Seconds remaining: 370
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:57:50(UTC) Log: Seconds remaining: 360
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:58:00(UTC) Log: Seconds remaining: 350
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:58:10(UTC) Log: Seconds remaining: 340
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:58:20(UTC) Log: Seconds remaining: 330
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:58:30(UTC) Log: Seconds remaining: 320
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:58:40(UTC) Log: Seconds remaining: 310
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:58:50(UTC) Log: Seconds remaining: 300
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:59:00(UTC) Log: Seconds remaining: 290
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:59:10(UTC) Log: Seconds remaining: 280
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:59:20(UTC) Log: Seconds remaining: 270
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:59:30(UTC) Log: Seconds remaining: 260
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:59:40(UTC) Log: Seconds remaining: 250
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-05:59:50(UTC) Log: Seconds remaining: 240
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-06:00:00(UTC) Log: Seconds remaining: 230
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-06:00:10(UTC) Log: Seconds remaining: 220
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-06:00:20(UTC) Log: Seconds remaining: 210
2022-07-20 07:12:04.131:   [Telnet] 2021/11/18-06:00:30(UTC) Log: Seconds remaining: 200
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:00:40(UTC) Log: Seconds remaining: 190
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:00:50(UTC) Log: Seconds remaining: 180
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:01:00(UTC) Log: Seconds remaining: 170
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:01:10(UTC) Log: Seconds remaining: 160
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:01:20(UTC) Log: Seconds remaining: 150
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:01:30(UTC) Log: Seconds remaining: 140
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:01:40(UTC) Log: Seconds remaining: 130
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:01:50(UTC) Log: Seconds remaining: 120
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:02:00(UTC) Log: Seconds remaining: 110
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:02:10(UTC) Log: Seconds remaining: 100
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:02:20(UTC) Log: Seconds remaining: 90
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:02:30(UTC) Log: Seconds remaining: 80
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:02:40(UTC) Log: Seconds remaining: 70
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:02:50(UTC) Log: Seconds remaining: 60
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:03:00(UTC) Log: Seconds remaining: 50
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:03:10(UTC) Log: Seconds remaining: 40
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:03:20(UTC) Log: Seconds remaining: 30
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:03:30(UTC) Log: Seconds remaining: 20
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:03:40(UTC) Log: Seconds remaining: 10
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: Found 0 hardware incidents
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: Completed: 101038.00M in 715.29s 141.26MB/s, with 0 hardware incidents, 0 errors
2022-07-20 07:12:04.132:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: Memory Copy: 101038.00M at 168.39MB/s
2022-07-20 07:12:04.133:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: File Copy: 0.00M at 0.00MB/s
2022-07-20 07:12:04.133:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: Net Copy: 0.00M at 0.00MB/s
2022-07-20 07:12:04.133:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: Data Check: 0.00M at 0.00MB/s
2022-07-20 07:12:04.133:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: Invert Data: 0.00M at 0.00MB/s
2022-07-20 07:12:04.133:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: Disk: 0.00M at 0.00MB/s
2022-07-20 07:12:04.133:   [Telnet] 2021/11/18-06:05:45(UTC)
2022-07-20 07:12:04.133:   [Telnet] 2021/11/18-06:05:45(UTC) Status: PASS - please verify no corrected errors
2022-07-20 07:12:04.133:   [CONFIG] Spec: "Status: PASS - please verify no corrected errors"
2022-07-20 07:12:04.133:   [Config] Waiting for about1000 s
2022-07-20 07:12:04.133:   [Telnet] Send command: stressapptest -s 600 --cc_test -M 300 -v 20 --cc_line_size 8192 --stop_on_errors -l test_ddr_02.log
2022-07-20 07:22:05.385:   [Telnet] stressapptest -s 600 --cc_test -M 300 -v 20 --cc_line_size 819
2022-07-20 07:22:05.385:   [Telnet] 2 --stop_on_errors -l test_ddr_02.log
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Commandline - stressapptest -s 600 --cc_test -M 300 -v 20 --cc_line_size 8192 --stop_on_errors -l test_ddr_02.log
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: SAT revision 1.0.7_autoconf, 32 bit binary
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: adrian @ ubuntu-16-RD on Thu Nov 18 12:07:07 CST 2021 from open source release
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: 1 nodes, 2 cpus.
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Defaulting to 2 copy threads
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Flooring memory allocation to multiple of 4: 300MB
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: /proc/sys/vm/nr_hugepages read did not provide data
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Prefer plain malloc memory allocation.
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Using mmap() allocation at 0x64207000.
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Stats: Starting SAT, 300M, 600 seconds
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: initialized 120 data patterns
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Allocating pages, Total: 300 Free: 120
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Starting Fill threads: 8 threads, 0 pages
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Starting Fill Threads 0: 0 pages
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Starting Fill Threads 1: 0 pages
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Starting Fill Threads 2: 0 pages
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Starting Fill Threads 3: 0 pages
2022-07-20 07:22:05.385:   [Telnet] 2021/11/18-06:05:45(UTC) Starting Fill Threads 4: 0 pages
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Starting Fill Threads 5: 0 pages
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Starting Fill Threads 6: 0 pages
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Starting Fill Threads 7: 0 pages
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Thread 0 running on core ID 1 mask 3 (3).
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Starting fill thread 0
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Thread 1 running on core ID 1 mask 3 (3).
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Thread 7 running on core ID 0 mask 3 (3).
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Starting fill thread 1
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Starting fill thread 7
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Thread 2 running on core ID 1 mask 3 (3).
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Starting fill thread 2
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Thread 4 running on core ID 0 mask 3 (3).
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Thread 6 running on core ID 0 mask 3 (3).
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Thread 5 running on core ID 0 mask 3 (3).
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Starting fill thread 5
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Starting fill thread 6
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Starting fill thread 4
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Thread 3 running on core ID 1 mask 3 (3).
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:45(UTC) Log: Starting fill thread 3
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Completed 1: Fill thread. Status 1, 37 pages filled
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Completed 0: Fill thread. Status 1, 37 pages filled
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Completed 6: Fill thread. Status 1, 37 pages filled
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Completed 2: Fill thread. Status 1, 37 pages filled
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Completed 3: Fill thread. Status 1, 37 pages filled
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Completed 5: Fill thread. Status 1, 37 pages filled
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Completed 4: Fill thread. Status 1, 37 pages filled
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Completed 7: Fill thread. Status 1, 41 pages filled
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Done filling pages.
2022-07-20 07:22:05.386:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Allocating pages.
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Done allocating pages.
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Region 0: 300.
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Region mask: 0x1
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Installing signal handlers
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Launching worker threads
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting worker threads
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting invert threads
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting disk stress threads
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting cpu stress threads
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting cpu cache coherency threads
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Initializing WorkerStatus objects
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Spawning worker threads
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Spawning thread 1
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: available CPU mask - 3
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Spawning thread 2
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Thread 1 running on core ID 0 mask 1 (1).
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Spawning thread 0
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting copy thread 1: cpu 1, mem ffffffff
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Spawning thread 3
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Spawning thread 4
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting countdown with 600 seconds
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: available CPU mask - 3
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Thread 4 running on core ID 1 mask 2 (2).
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting the Cache Coherency thread 1
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: available CPU mask - 3
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Thread 2 running on core ID 1 mask 2 (2).
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting copy thread 2: cpu 2, mem ffffffff
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Thread 0 running on core ID 0 mask 3 (3).
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting system error poll thread 0
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: available CPU mask - 3
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Thread 3 running on core ID 0 mask 1 (1).
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:46(UTC) Log: Starting the Cache Coherency thread 0
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:05:56(UTC) Log: Seconds remaining: 590
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:06:06(UTC) Log: Seconds remaining: 580
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:06:16(UTC) Log: Seconds remaining: 570
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:06:26(UTC) Log: Seconds remaining: 560
2022-07-20 07:22:05.387:   [Telnet] 2021/11/18-06:06:36(UTC) Log: Seconds remaining: 550
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:06:46(UTC) Log: Seconds remaining: 540
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:06:56(UTC) Log: Seconds remaining: 530
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:07:06(UTC) Log: Seconds remaining: 520
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:07:16(UTC) Log: Seconds remaining: 510
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:07:26(UTC) Log: Seconds remaining: 500
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:07:36(UTC) Log: Seconds remaining: 490
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:07:46(UTC) Log: Seconds remaining: 480
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:07:56(UTC) Log: Seconds remaining: 470
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:08:06(UTC) Log: Seconds remaining: 460
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:08:16(UTC) Log: Seconds remaining: 450
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:08:26(UTC) Log: Seconds remaining: 440
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:08:36(UTC) Log: Seconds remaining: 430
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:08:46(UTC) Log: Seconds remaining: 420
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:08:56(UTC) Log: Seconds remaining: 410
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:09:06(UTC) Log: Seconds remaining: 400
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:09:16(UTC) Log: Seconds remaining: 390
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:09:26(UTC) Log: Seconds remaining: 380
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:09:36(UTC) Log: Seconds remaining: 370
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:09:46(UTC) Log: Seconds remaining: 360
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:09:56(UTC) Log: Seconds remaining: 350
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:10:06(UTC) Log: Seconds remaining: 340
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:10:16(UTC) Log: Seconds remaining: 330
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:10:26(UTC) Log: Seconds remaining: 320
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:10:36(UTC) Log: Seconds remaining: 310
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:10:46(UTC) Log: Seconds remaining: 300
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:10:56(UTC) Log: Seconds remaining: 290
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:11:06(UTC) Log: Seconds remaining: 280
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:11:16(UTC) Log: Seconds remaining: 270
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:11:26(UTC) Log: Seconds remaining: 260
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:11:36(UTC) Log: Seconds remaining: 250
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:11:46(UTC) Log: Seconds remaining: 240
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:11:56(UTC) Log: Seconds remaining: 230
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:12:06(UTC) Log: Seconds remaining: 220
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:12:16(UTC) Log: Seconds remaining: 210
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:12:26(UTC) Log: Seconds remaining: 200
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:12:36(UTC) Log: Seconds remaining: 190
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:12:46(UTC) Log: Seconds remaining: 180
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:12:56(UTC) Log: Seconds remaining: 170
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:13:06(UTC) Log: Seconds remaining: 160
2022-07-20 07:22:05.388:   [Telnet] 2021/11/18-06:13:16(UTC) Log: Seconds remaining: 150
