2022-07-21 06:33:35.166:   ITEM[reboot_soft] - FUNCTION[RebootSoftProxy]
2022-07-21 06:33:35.584:   [Telnet] MMMM          M                    MMMMMMM        M       M
2022-07-21 06:33:35.584:   [Telnet] M
2022-07-21 06:33:35.585:   [Telnet] ---------------------------------------------------------------
2022-07-21 06:33:35.585:   [Telnet] For those about to rock... (Chaos Calmer, unknown)
2022-07-21 06:33:35.585:   [Telnet] ---------------------------------------------------------------
2022-07-21 06:33:35.585:   [Telnet] root@eero-test:/#
2022-07-21 06:33:35.585:   [Telnet] send reboot...
2022-07-21 06:33:35.585:   [Telnet] Send command: reboot
2022-07-21 06:33:38.642:   [Telnet] reboot
2022-07-21 06:33:38.642:   [Telnet] root@eero-test:/#
2022-07-21 06:33:38.642:   [Cmd] ------------------------------------
2022-07-21 06:33:38.642:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:33:42.332:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:33:42.332:   [Cmd] Request timed out.
2022-07-21 06:33:42.333:   [Cmd] 
2022-07-21 06:33:42.333:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:33:42.333:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:33:42.333:   [Cmd] ------------------------------------
2022-07-21 06:33:42.333:   [Telnet] Reboot ok!
2022-07-21 06:33:42.334:   [Cmd] ------------------------------------
2022-07-21 06:33:42.334:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:33:46.333:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:33:46.333:   [Cmd] Request timed out.
2022-07-21 06:33:46.333:   [Cmd] 
2022-07-21 06:33:46.333:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:33:46.334:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:33:46.334:   [Cmd] ------------------------------------
2022-07-21 06:33:46.334:   [Cmd] ------------------------------------
2022-07-21 06:33:46.334:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:33:50.334:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:33:50.334:   [Cmd] Request timed out.
2022-07-21 06:33:50.334:   [Cmd] 
2022-07-21 06:33:50.335:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:33:50.335:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:33:50.335:   [Cmd] ------------------------------------
2022-07-21 06:33:50.335:   [Cmd] ------------------------------------
2022-07-21 06:33:50.335:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:33:54.324:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:33:54.325:   [Cmd] Request timed out.
2022-07-21 06:33:54.325:   [Cmd] 
2022-07-21 06:33:54.325:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:33:54.325:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:33:54.325:   [Cmd] ------------------------------------
2022-07-21 06:33:54.325:   [Cmd] ------------------------------------
2022-07-21 06:33:54.326:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:33:58.335:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:33:58.335:   [Cmd] Request timed out.
2022-07-21 06:33:58.335:   [Cmd] 
2022-07-21 06:33:58.335:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:33:58.336:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:33:58.336:   [Cmd] ------------------------------------
2022-07-21 06:33:58.336:   [Cmd] ------------------------------------
2022-07-21 06:33:58.336:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:02.323:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:02.323:   [Cmd] Request timed out.
2022-07-21 06:34:02.323:   [Cmd] 
2022-07-21 06:34:02.324:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:02.324:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:02.324:   [Cmd] ------------------------------------
2022-07-21 06:34:02.324:   [Cmd] ------------------------------------
2022-07-21 06:34:02.324:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:06.326:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:06.326:   [Cmd] Request timed out.
2022-07-21 06:34:06.326:   [Cmd] 
2022-07-21 06:34:06.326:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:06.327:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:06.327:   [Cmd] ------------------------------------
2022-07-21 06:34:06.327:   [Cmd] ------------------------------------
2022-07-21 06:34:06.327:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:10.325:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:10.325:   [Cmd] Request timed out.
2022-07-21 06:34:10.325:   [Cmd] 
2022-07-21 06:34:10.325:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:10.325:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:10.325:   [Cmd] ------------------------------------
2022-07-21 06:34:10.325:   [Cmd] ------------------------------------
2022-07-21 06:34:10.325:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:13.322:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:13.322:   [Cmd] Reply from 172.168.1.254: Destination host unreachable.
2022-07-21 06:34:13.322:   [Cmd] 
2022-07-21 06:34:13.323:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:13.323:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-21 06:34:13.323:   [Cmd] ------------------------------------
2022-07-21 06:34:13.323:   [Cmd] ------------------------------------
2022-07-21 06:34:13.323:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:17.332:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:17.332:   [Cmd] Request timed out.
2022-07-21 06:34:17.332:   [Cmd] 
2022-07-21 06:34:17.332:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:17.332:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:17.333:   [Cmd] ------------------------------------
2022-07-21 06:34:17.333:   [Cmd] ------------------------------------
2022-07-21 06:34:17.333:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:21.333:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:21.333:   [Cmd] Request timed out.
2022-07-21 06:34:21.333:   [Cmd] 
2022-07-21 06:34:21.334:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:21.334:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:21.334:   [Cmd] ------------------------------------
2022-07-21 06:34:21.334:   [Cmd] ------------------------------------
2022-07-21 06:34:21.334:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:25.326:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:25.326:   [Cmd] Request timed out.
2022-07-21 06:34:25.326:   [Cmd] 
2022-07-21 06:34:25.326:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:25.326:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:25.326:   [Cmd] ------------------------------------
2022-07-21 06:34:25.326:   [Cmd] ------------------------------------
2022-07-21 06:34:25.326:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:29.317:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:29.317:   [Cmd] Request timed out.
2022-07-21 06:34:29.317:   [Cmd] 
2022-07-21 06:34:29.317:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:29.317:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:29.317:   [Cmd] ------------------------------------
2022-07-21 06:34:29.317:   [Cmd] ------------------------------------
2022-07-21 06:34:29.317:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:33.321:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:33.321:   [Cmd] Request timed out.
2022-07-21 06:34:33.321:   [Cmd] 
2022-07-21 06:34:33.321:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:33.321:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:33.321:   [Cmd] ------------------------------------
2022-07-21 06:34:33.322:   [Cmd] ------------------------------------
2022-07-21 06:34:33.322:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:37.322:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:37.322:   [Cmd] Request timed out.
2022-07-21 06:34:37.322:   [Cmd] 
2022-07-21 06:34:37.322:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:37.322:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:37.322:   [Cmd] ------------------------------------
2022-07-21 06:34:37.322:   [Cmd] ------------------------------------
2022-07-21 06:34:37.322:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:41.317:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:41.318:   [Cmd] Request timed out.
2022-07-21 06:34:41.318:   [Cmd] 
2022-07-21 06:34:41.318:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:41.318:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:41.318:   [Cmd] ------------------------------------
2022-07-21 06:34:41.318:   [Cmd] ------------------------------------
2022-07-21 06:34:41.318:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:45.328:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:45.328:   [Cmd] Request timed out.
2022-07-21 06:34:45.328:   [Cmd] 
2022-07-21 06:34:45.328:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:45.329:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:45.329:   [Cmd] ------------------------------------
2022-07-21 06:34:45.329:   [Cmd] ------------------------------------
2022-07-21 06:34:45.329:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:49.323:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:49.323:   [Cmd] Request timed out.
2022-07-21 06:34:49.323:   [Cmd] 
2022-07-21 06:34:49.323:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:49.323:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:49.323:   [Cmd] ------------------------------------
2022-07-21 06:34:49.323:   [Cmd] ------------------------------------
2022-07-21 06:34:49.323:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:53.329:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:53.329:   [Cmd] Request timed out.
2022-07-21 06:34:53.329:   [Cmd] 
2022-07-21 06:34:53.329:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:53.329:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:53.329:   [Cmd] ------------------------------------
2022-07-21 06:34:53.329:   [Cmd] ------------------------------------
2022-07-21 06:34:53.329:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:34:57.336:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:34:57.336:   [Cmd] Request timed out.
2022-07-21 06:34:57.336:   [Cmd] 
2022-07-21 06:34:57.336:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:34:57.336:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:34:57.336:   [Cmd] ------------------------------------
2022-07-21 06:34:57.336:   [Cmd] ------------------------------------
2022-07-21 06:34:57.336:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:01.332:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:01.332:   [Cmd] Request timed out.
2022-07-21 06:35:01.332:   [Cmd] 
2022-07-21 06:35:01.332:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:01.332:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:01.332:   [Cmd] ------------------------------------
2022-07-21 06:35:01.332:   [Cmd] ------------------------------------
2022-07-21 06:35:01.333:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:05.319:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:05.319:   [Cmd] Request timed out.
2022-07-21 06:35:05.319:   [Cmd] 
2022-07-21 06:35:05.319:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:05.319:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:05.319:   [Cmd] ------------------------------------
2022-07-21 06:35:05.319:   [Cmd] ------------------------------------
2022-07-21 06:35:05.319:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:09.332:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:09.332:   [Cmd] Request timed out.
2022-07-21 06:35:09.332:   [Cmd] 
2022-07-21 06:35:09.332:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:09.332:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:09.332:   [Cmd] ------------------------------------
2022-07-21 06:35:09.332:   [Cmd] ------------------------------------
2022-07-21 06:35:09.332:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:13.325:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:13.325:   [Cmd] Request timed out.
2022-07-21 06:35:13.325:   [Cmd] 
2022-07-21 06:35:13.326:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:13.326:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:13.326:   [Cmd] ------------------------------------
2022-07-21 06:35:13.326:   [Cmd] ------------------------------------
2022-07-21 06:35:13.326:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:13.402:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:13.403:   [Cmd] Reply from 172.168.1.0: bytes=32 time<1ms TTL=64
2022-07-21 06:35:13.403:   [Cmd] 
2022-07-21 06:35:13.403:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:13.403:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-21 06:35:13.403:   [Cmd] Approximate round trip times in milli-seconds:
2022-07-21 06:35:13.403:   [Cmd] Minimum = 0ms, Maximum = 0ms, Average = 0ms
2022-07-21 06:35:13.403:   [Cmd] ------------------------------------
2022-07-21 06:35:13.403:   cycle Times: 2 - 3
2022-07-21 06:35:13.403:   [Telnet] Connect to host: 172.168.1.0
2022-07-21 06:35:13.403:   [Telnet] Port is: 23
2022-07-21 06:35:13.403:   [Cmd] ------------------------------------
2022-07-21 06:35:13.403:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:13.454:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:13.455:   [Cmd] Reply from 172.168.1.0: bytes=32 time<1ms TTL=64
2022-07-21 06:35:13.455:   [Cmd] 
2022-07-21 06:35:13.455:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:13.455:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-21 06:35:13.455:   [Cmd] Approximate round trip times in milli-seconds:
2022-07-21 06:35:13.455:   [Cmd] Minimum = 0ms, Maximum = 0ms, Average = 0ms
2022-07-21 06:35:13.455:   [Cmd] ------------------------------------
2022-07-21 06:35:13.793:   [Telnet] 
2022-07-21 06:35:13.793:   [Telnet] === IMPORTANT ============================
2022-07-21 06:35:13.793:   [Telnet] Use 'passwd' to set your login password!
2022-07-21 06:35:13.793:   [Telnet] ------------------------------------------
2022-07-21 06:35:13.793:   [Telnet] 
2022-07-21 06:35:13.793:   [Telnet] 
2022-07-21 06:35:13.793:   [Telnet] BusyBox v1.30.1 () built-in shell (ash)
2022-07-21 06:35:13.793:   [Telnet] 
2022-07-21 06:35:13.794:   [Telnet] MM           NM                    MMMMMMM          M       M
2022-07-21 06:35:13.794:   [Telnet] $MMMMM        MMMMM                MMMMMMMMMMM      MMM     MMM
2022-07-21 06:35:13.794:   [Telnet] MMMMMMMM     MM MMMMM.              MMMMM:MMMMMM:   MMMM   MMMMM
2022-07-21 06:35:13.794:   [Telnet] MMMM= MMMMMM  MMM   MMMM       MMMMM   MMMM  MMMMMM   MMMM  MMMMM'
2022-07-21 06:35:13.794:   [Telnet] MMMM=  MMMMM MMMM    MM       MMMMM    MMMM    MMMM   MMMMNMMMMM
2022-07-21 06:35:13.794:   [Telnet] MMMM=   MMMM  MMMMM          MMMMM     MMMM    MMMM   MMMMMMMM
2022-07-21 06:35:13.794:   [Telnet] MMMM=   MMMM   MMMMMM       MMMMM      MMMM    MMMM   MMMMMMMMM
2022-07-21 06:35:13.794:   [Telnet] MMMM=   MMMM     MMMMM,    NMMMMMMMM   MMMM    MMMM   MMMMMMMMMMM
2022-07-21 06:35:13.794:   [Telnet] MMMM=   MMMM      MMMMMM   MMMMMMMM    MMMM    MMMM   MMMM  MMMMMM
2022-07-21 06:35:13.794:   [Telnet] MMMM=   MMMM   MM    MMMM    MMMM      MMMM    MMMM   MMMM    MMMM
2022-07-21 06:35:13.794:   [Telnet] MMMM$ ,MMMMM  MMMMM  MMMM    MMM       MMMM   MMMMM   MMMM    MMMM
2022-07-21 06:35:13.794:   [Telnet] MMMMMMM:      MMMMMMM     M         MMMMMMMMMMMM  MMMMMMM MMMMMMM
2022-07-21 06:35:13.794:   [Telnet] MMMMMM       MMMMN     M           MMMMMMMMM      MMMM    MMMM
2022-07-21 06:35:13.794:   [Telnet] MMMM          M                    MMMMMMM        M       M
2022-07-21 06:35:13.795:   [Telnet] M
2022-07-21 06:35:13.795:   [Telnet] ---------------------------------------------------------------
2022-07-21 06:35:13.795:   [Telnet] For those about to rock... (Chaos Calmer, unknown)
2022-07-21 06:35:13.795:   [Telnet] ---------------------------------------------------------------
2022-07-21 06:35:13.795:   [Telnet] root@eero-test:/#
2022-07-21 06:35:13.795:   [Telnet] send reboot...
2022-07-21 06:35:13.795:   [Telnet] Send command: reboot
2022-07-21 06:35:16.837:   [Telnet] reboot
2022-07-21 06:35:16.837:   [Telnet] root@eero-test:/#
2022-07-21 06:35:16.837:   [Cmd] ------------------------------------
2022-07-21 06:35:16.837:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:20.820:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:20.820:   [Cmd] Request timed out.
2022-07-21 06:35:20.820:   [Cmd] 
2022-07-21 06:35:20.821:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:20.821:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:20.821:   [Cmd] ------------------------------------
2022-07-21 06:35:20.821:   [Telnet] Reboot ok!
2022-07-21 06:35:20.821:   [Cmd] ------------------------------------
2022-07-21 06:35:20.821:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:24.828:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:24.828:   [Cmd] Request timed out.
2022-07-21 06:35:24.828:   [Cmd] 
2022-07-21 06:35:24.828:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:24.829:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:24.829:   [Cmd] ------------------------------------
2022-07-21 06:35:24.829:   [Cmd] ------------------------------------
2022-07-21 06:35:24.829:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:28.834:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:28.834:   [Cmd] Request timed out.
2022-07-21 06:35:28.834:   [Cmd] 
2022-07-21 06:35:28.834:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:28.834:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:28.834:   [Cmd] ------------------------------------
2022-07-21 06:35:28.834:   [Cmd] ------------------------------------
2022-07-21 06:35:28.834:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:32.827:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:32.827:   [Cmd] Request timed out.
2022-07-21 06:35:32.827:   [Cmd] 
2022-07-21 06:35:32.827:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:32.827:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:32.827:   [Cmd] ------------------------------------
2022-07-21 06:35:32.827:   [Cmd] ------------------------------------
2022-07-21 06:35:32.827:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:36.822:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:36.822:   [Cmd] Request timed out.
2022-07-21 06:35:36.822:   [Cmd] 
2022-07-21 06:35:36.822:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:36.823:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:36.823:   [Cmd] ------------------------------------
2022-07-21 06:35:36.823:   [Cmd] ------------------------------------
2022-07-21 06:35:36.823:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:40.830:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:40.830:   [Cmd] Request timed out.
2022-07-21 06:35:40.830:   [Cmd] 
2022-07-21 06:35:40.830:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:40.831:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:40.831:   [Cmd] ------------------------------------
2022-07-21 06:35:40.831:   [Cmd] ------------------------------------
2022-07-21 06:35:40.831:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:44.830:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:44.830:   [Cmd] Request timed out.
2022-07-21 06:35:44.831:   [Cmd] 
2022-07-21 06:35:44.831:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:44.831:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2022-07-21 06:35:44.831:   [Cmd] ------------------------------------
2022-07-21 06:35:44.831:   [Cmd] ------------------------------------
2022-07-21 06:35:44.831:   [Cmd] Send command: ping 172.168.1.0 -n 1
2022-07-21 06:35:47.823:   [Cmd] Pinging 172.168.1.0 with 32 bytes of data:
2022-07-21 06:35:47.823:   [Cmd] Reply from 172.168.1.254: Destination host unreachable.
2022-07-21 06:35:47.824:   [Cmd] 
2022-07-21 06:35:47.824:   [Cmd] Ping statistics for 172.168.1.0:
2022-07-21 06:35:47.824:   [Cmd] Packets: Sent = 1, Received = 1, Lost = 0 (0% loss),
2022-07-21 06:35:47.824:   [Cmd] ------------------------------------
2022-07-21 06:35:47.824:   [Cmd] ------------------------------------
2022-07-21 06:35:47.824:   [Cmd] Send command: ping 172.168.1.0 -n 1
