1,ap
30.1,shop_floor
30.1.1,shop_floor_tooLow
30.1.2,shop_floor_tooHigh
31,sn
31.1,sn_tooLow
31.2,sn_tooHigh
31.3,sn_ok
31.3.1,sn_ok_tooLow
31.3.2,sn_ok_tooHigh
32,spruce
32.1,spruce_check
32.1.1,spruce_check_tooLow
32.1.2,spruce_check_tooHigh
33,telnet
33.1,telnet_tooLow
33.2,telnet_tooHigh
34,temp
34.1,temp_cpu
34.1.1,temp_cpu_tooLow
34.1.2,temp_cpu_tooHigh
34.1.3,temp_cpu_0
34.1.3.1,temp_cpu_0_tooLow
34.1.3.2,temp_cpu_0_tooHigh
34.1.4,temp_cpu_1
34.1.4.1,temp_cpu_1_tooLow
34.1.4.2,temp_cpu_1_tooHigh
34.1.5,temp_cpu_2
34.1.5.1,temp_cpu_2_tooLow
34.1.5.2,temp_cpu_2_tooHigh
34.1.6,temp_cpu_3
34.1.6.1,temp_cpu_3_tooLow
34.1.6.2,temp_cpu_3_tooHigh
34.1.7,temp_cpu_4
34.1.7.1,temp_cpu_4_tooLow
34.1.7.2,temp_cpu_4_tooHigh
34.2,temp_cpu1
34.2.1,temp_cpu1_tooLow
34.2.2,temp_cpu1_tooHigh
35,test
35.1,test_image
35.1.1,test_image_version
35.1.1.1,test_image_version_tooLow
35.1.1.2,test_image_version_tooHigh
36,thermal
36.1,thermal_shutdown
36.1.1,thermal_shutdown_tooLow
36.1.2,thermal_shutdown_tooHigh
37,usb
37.1,usb_aside
37.1.1,usb_aside_tooLow
37.1.2,usb_aside_tooHigh
37.2,usb_bside
37.2.1,usb_bside_tooLow
37.2.2,usb_bside_tooHigh
37.3,usb_detect
37.3.1,usb_detect_tooLow
37.3.2,usb_detect_tooHigh
37.4,usb_fw
37.4.1,usb_fw_tooLow
37.4.2,usb_fw_tooHigh
37.5,usb_model
37.5.1,usb_model_tooLow
37.5.2,usb_model_tooHigh
37.6,usb_speed
37.6.1,usb_speed_read
37.6.1.1,usb_speed_read_tooLow
37.6.1.2,usb_speed_read_tooHigh
37.6.2,usb_speed_write
37.6.2.1,usb_speed_write_tooLow
37.6.2.2,usb_speed_write_tooHigh
38,v
38.1,v_tp10
38.10.1,v_tp10_dvdd3.3
38.10.1.1,v_tp10_dvdd3.3_tooLow
38.10.1.2,v_tp10_dvdd3.3_tooHigh
38.14.2,v_tp14_dvdd1.95
38.14.2.1,v_tp14_dvdd1.95_tooLow
38.14.2.2,v_tp14_dvdd1.95_tooHigh
38.17.3,v_tp17_avdd2.2
38.17.3.1,v_tp17_avdd2.2_tooLow
38.17.3.2,v_tp17_avdd2.2_tooHigh
38.19.4,v_tp19_sp
38.19.4.1,v_tp19_sp_dvdd0.912
38.19.4.1.1,v_tp19_sp_dvdd0.912_tooLow
38.19.4.1.2,v_tp19_sp_dvdd0.912_tooHigh
38.22.5,v_tp22_uart
38.22.5.1,v_tp22_uart_tx
38.22.5.1.1,v_tp22_uart_tx_3.3v
38.22.5.1.1.1,v_tp22_uart_tx_3.3v_tooLow
38.22.5.1.1.2,v_tp22_uart_tx_3.3v_tooHigh
38.23.5.2,v_tp23_uart_rx
38.23.5.2.1,v_tp23_uart_rx_3.3v
38.23.5.2.1.1,v_tp23_uart_rx_3.3v_tooLow
38.23.5.2.1.2,v_tp23_uart_rx_3.3v_tooHigh
38.26.6,v_tp26_dvdd1.29
38.26.6.1,v_tp26_dvdd1.29_mp
38.26.6.1.1,v_tp26_dvdd1.29_mp_core
38.26.6.1.1.1,v_tp26_dvdd1.29_mp_core_tooLow
38.26.6.1.1.2,v_tp26_dvdd1.29_mp_core_tooHigh
38.37.7,v_tp37_dvdd1.35
38.37.7.1,v_tp37_dvdd1.35_ddr
38.37.7.1.1,v_tp37_dvdd1.35_ddr_tooLow
38.37.7.1.2,v_tp37_dvdd1.35_ddr_tooHigh
38.500.80,v_tp500_dvdd1.8
38.500.8.1,v_tp500_dvdd1.8_tooLow
38.500.8.2,v_tp500_dvdd1.8_tooHigh
38.503.90,v_tp503_vdd1.05
38.503.9.1,v_tp503_vdd1.05_napa
38.503.9.1.1,v_tp503_vdd1.05_napa_tooLow
38.503.9.1.2,v_tp503_vdd1.05_napa_tooHigh
38.506.10,v_tp506_avdd
38.506.10.1,v_tp506_avdd_5v
38.506.10.1.1,v_tp506_avdd_5v_5g
38.506.10.1.1.1,v_tp506_avdd_5v_5g_tooLow
38.506.10.1.1.2,v_tp506_avdd_5v_5g_tooHigh
38.507.10.1.2,v_tp507_avdd_5v_2g
38.507.10.1.2.1,v_tp507_avdd_5v_2g_tooLow
38.507.10.1.2.2,v_tp507_avdd_5v_2g_tooHigh
38.518.11,v_tp518_sw
38.518.11.1,v_tp518_sw_rstn
38.518.11.1.1,v_tp518_sw_rstn_tooLow
38.518.11.1.2,v_tp518_sw_rstn_tooHigh
38.524.12,v_tp524_tsd
38.524.12.1,v_tp524_tsd_otn
38.524.12.1.1,v_tp524_tsd_otn_tooLow
38.524.12.1.2,v_tp524_tsd_otn_tooHigh
38.532.13,v_tp532_usbc
38.532.13.1,v_tp532_usbc_vbus
38.532.13.1.1,v_tp532_usbc_vbus_tooLow
38.532.13.1.2,v_tp532_usbc_vbus_tooHigh
38.1,v_ubootidle
38.1.1,v_ubootidle_tooLow
38.1.2,v_ubootidle_tooHigh
38.2,v_wifi
38.2.1,v_wifi_tooLow
38.2.2,v_wifi_tooHigh
39,wifi
39.1,wifi_bringup
39.1.1,wifi_bringup_tooLow
39.1.2,wifi_bringup_tooHigh
39.2,wifi_cal
39.2.1,wifi_cal_tooLow
39.2.2,wifi_cal_tooHigh
39.3,wifi_desense
39.3.1,wifi_desense_ftm
39.3.1.1,wifi_desense_ftm_tooLow
39.3.1.2,wifi_desense_ftm_tooHigh
39.4,wifi_ofdma
39.4.1,wifi_ofdma_tx
39.4.1.1,wifi_ofdma_tx_evm
39.4.1.1.5210,wifi_ofdma_tx_evm_f5210
39.4.1.1.5210.1,wifi_ofdma_tx_evm_f5210_user1
39.4.1.1.5210.1.10,wifi_ofdma_tx_evm_f5210_user1_mcs10
39.4.1.1.5210.1.10.1,wifi_ofdma_tx_evm_f5210_user1_mcs10_a1
39.4.1.1.5210.1.10.1.1,wifi_ofdma_tx_evm_f5210_user1_mcs10_a1_tooLow
39.4.1.1.5210.1.10.1.2,wifi_ofdma_tx_evm_f5210_user1_mcs10_a1_tooHigh
39.4.1.1.5210.1.10.2,wifi_ofdma_tx_evm_f5210_user1_mcs10_a2
39.4.1.1.5210.1.10.2.1,wifi_ofdma_tx_evm_f5210_user1_mcs10_a2_tooLow
39.4.1.1.5210.1.10.2.2,wifi_ofdma_tx_evm_f5210_user1_mcs10_a2_tooHigh
39.4.1.1.5210.2,wifi_ofdma_tx_evm_f5210_user2
39.4.1.1.5210.2.5,wifi_ofdma_tx_evm_f5210_user2_mcs5
39.4.1.1.5210.2.5.1,wifi_ofdma_tx_evm_f5210_user2_mcs5_a1
39.4.1.1.5210.2.5.1.1,wifi_ofdma_tx_evm_f5210_user2_mcs5_a1_tooLow
39.4.1.1.5210.2.5.1.2,wifi_ofdma_tx_evm_f5210_user2_mcs5_a1_tooHigh
39.4.1.1.5210.2.5.2,wifi_ofdma_tx_evm_f5210_user2_mcs5_a2
39.4.1.1.5210.2.5.2.1,wifi_ofdma_tx_evm_f5210_user2_mcs5_a2_tooLow
39.4.1.1.5210.2.5.2.2,wifi_ofdma_tx_evm_f5210_user2_mcs5_a2_tooHigh
39.4.1.2,wifi_ofdma_tx_power
39.4.1.2.5210,wifi_ofdma_tx_power_f5210
39.4.1.2.5210.1,wifi_ofdma_tx_power_f5210_user1
39.4.1.2.5210.1.10,wifi_ofdma_tx_power_f5210_user1_mcs10
39.4.1.2.5210.1.10.1,wifi_ofdma_tx_power_f5210_user1_mcs10_a1
39.4.1.2.5210.1.10.1.1,wifi_ofdma_tx_power_f5210_user1_mcs10_a1_tooLow
39.4.1.2.5210.1.10.1.2,wifi_ofdma_tx_power_f5210_user1_mcs10_a1_tooHigh
39.4.1.2.5210.1.10.2,wifi_ofdma_tx_power_f5210_user1_mcs10_a2
39.4.1.2.5210.1.10.2.1,wifi_ofdma_tx_power_f5210_user1_mcs10_a2_tooLow
39.4.1.2.5210.1.10.2.2,wifi_ofdma_tx_power_f5210_user1_mcs10_a2_tooHigh
39.4.1.2.5210.2,wifi_ofdma_tx_power_f5210_user2
39.4.1.2.5210.2.5,wifi_ofdma_tx_power_f5210_user2_mcs5
39.4.1.2.5210.2.5.1,wifi_ofdma_tx_power_f5210_user2_mcs5_a1
39.4.1.2.5210.2.5.1.1,wifi_ofdma_tx_power_f5210_user2_mcs5_a1_tooLow
39.4.1.2.5210.2.5.1.2,wifi_ofdma_tx_power_f5210_user2_mcs5_a1_tooHigh
39.4.1.2.5210.2.5.2,wifi_ofdma_tx_power_f5210_user2_mcs5_a2
39.4.1.2.5210.2.5.2.1,wifi_ofdma_tx_power_f5210_user2_mcs5_a2_tooLow
39.4.1.2.5210.2.5.2.2,wifi_ofdma_tx_power_f5210_user2_mcs5_a2_tooHigh
39.5,wifi_radios
39.5.1,wifi_radios_tooLow
39.5.2,wifi_radios_tooHigh
39.6,wifi_rx
39.6.1,wifi_rx_per
39.6.1.2412,wifi_rx_per_f2412
39.6.1.2412.20,wifi_rx_per_f2412_bw20
39.6.1.2412.20.88,wifi_rx_per_f2412_bw20_p-88
39.6.1.2412.20.88.1,wifi_rx_per_f2412_bw20_p-88_a1
39.6.1.2412.20.88.1.1,wifi_rx_per_f2412_bw20_p-88_a1_tooLow
39.6.1.2412.20.88.1.2,wifi_rx_per_f2412_bw20_p-88_a1_tooHigh
39.6.1.2412.20.88.2,wifi_rx_per_f2412_bw20_p-88_a2
39.6.1.2412.20.88.2.1,wifi_rx_per_f2412_bw20_p-88_a2_tooLow
39.6.1.2412.20.88.2.2,wifi_rx_per_f2412_bw20_p-88_a2_tooHigh
39.7,wifi_setup
39.7.1,wifi_setup_tooLow
39.7.2,wifi_setup_tooHigh
39.8,wifi_speed
39.8.1,wifi_speed_2437
39.8.1.1,wifi_speed_2437_rx
39.8.1.1.1,wifi_speed_2437_rx_tooLow
39.8.1.1.2,wifi_speed_2437_rx_tooHigh
39.8.1.2,wifi_speed_2437_tx
39.8.1.2.1,wifi_speed_2437_tx_tooLow
39.8.1.2.2,wifi_speed_2437_tx_tooHigh
39.8.2,wifi_speed_5500
39.8.2.1,wifi_speed_5500_rx
39.8.2.1.1,wifi_speed_5500_rx_tooLow
39.8.2.1.2,wifi_speed_5500_rx_tooHigh
39.8.2.2,wifi_speed_5500_tx
39.8.2.2.1,wifi_speed_5500_tx_tooLow
39.8.2.2.2,wifi_speed_5500_tx_tooHigh
39.8.3,wifi_speed_5570
39.8.3.1,wifi_speed_5570_rx
39.8.3.1.1,wifi_speed_5570_rx_tooLow
39.8.3.1.2,wifi_speed_5570_rx_tooHigh
39.8.3.2,wifi_speed_5570_tx
39.8.3.2.1,wifi_speed_5570_tx_tooLow
39.8.3.2.2,wifi_speed_5570_tx_tooHigh
39.8.4,wifi_speed_6115
39.8.4.1,wifi_speed_6115_rx
39.8.4.1.1,wifi_speed_6115_rx_tooLow
39.8.4.1.2,wifi_speed_6115_rx_tooHigh
39.8.4.2,wifi_speed_6115_tx
39.8.4.2.1,wifi_speed_6115_tx_tooLow
39.8.4.2.2,wifi_speed_6115_tx_tooHigh
39.8.5,wifi_speed_6185
39.8.5.1,wifi_speed_6185_rx
39.8.5.1.1,wifi_speed_6185_rx_tooLow
39.8.5.1.2,wifi_speed_6185_rx_tooHigh
39.8.5.2,wifi_speed_6185_tx
39.8.5.2.1,wifi_speed_6185_tx_tooLow
39.8.5.2.2,wifi_speed_6185_tx_tooHigh
39.9,wifi_start
39.9.1,wifi_start_tooLow
39.9.2,wifi_start_tooHigh
39.1,wifi_test
39.10.1,wifi_test_instrument
39.10.1.1,wifi_test_instrument_ok
39.10.1.1.1,wifi_test_instrument_ok_tooLow
39.10.1.1.2,wifi_test_instrument_ok_tooHigh
39.11,wifi_tx
39.11.1,wifi_tx_evm
39.11.1.2412,wifi_tx_evm_f2412
39.11.1.2412.20,wifi_tx_evm_f2412_bw20
39.11.1.2412.20.0,wifi_tx_evm_f2412_bw20_mcs0
39.11.1.2412.20.0.1,wifi_tx_evm_f2412_bw20_mcs0_a1
39.11.1.2412.20.0.1.1,wifi_tx_evm_f2412_bw20_mcs0_a1_tooLow
39.11.1.2412.20.0.1.2,wifi_tx_evm_f2412_bw20_mcs0_a1_tooHigh
39.11.1.2412.20.0.2,wifi_tx_evm_f2412_bw20_mcs0_a2
39.11.1.2412.20.0.2.1,wifi_tx_evm_f2412_bw20_mcs0_a2_tooLow
39.11.1.2412.20.0.2.2,wifi_tx_evm_f2412_bw20_mcs0_a2_tooHigh
39.11.2,wifi_tx_power
39.11.2.2412,wifi_tx_power_f2412
39.11.2.2412.20,wifi_tx_power_f2412_bw20
39.11.2.2412.20.0,wifi_tx_power_f2412_bw20_mcs0
39.11.2.2412.20.0.1,wifi_tx_power_f2412_bw20_mcs0_a1
39.11.2.2412.20.0.1.1,wifi_tx_power_f2412_bw20_mcs0_a1_tooLow
39.11.2.2412.20.0.1.2,wifi_tx_power_f2412_bw20_mcs0_a1_tooHigh
39.11.2.2412.20.0.2,wifi_tx_power_f2412_bw20_mcs0_a2
39.11.2.2412.20.0.2.1,wifi_tx_power_f2412_bw20_mcs0_a2_tooLow
39.11.2.2412.20.0.2.2,wifi_tx_power_f2412_bw20_mcs0_a2_tooHigh
40,wps
40.1,wps_ok
40.1.1,wps_ok_tooLow
40.1.2,wps_ok_tooHigh
41,zb
41.1,zb_2405
41.1.1,zb_2405_rx
41.1.1.1,zb_2405_rx_per
41.1.1.1.1,zb_2405_rx_per_tooLow
41.1.1.1.2,zb_2405_rx_per_tooHigh
41.1.2,zb_2405_tx
41.1.2.1,zb_2405_tx_power
41.1.2.1.1,zb_2405_tx_power_tooLow
41.1.2.1.2,zb_2405_tx_power_tooHigh
41.2405.90.2,zb_f2405_p-90_rx
41.2405.90.2.1,zb_f2405_p-90_rx_per
41.2405.90.2.1.1,zb_f2405_p-90_rx_per_tooLow
41.2405.90.2.1.2,zb_f2405_p-90_rx_per_tooHigh
41.2405.2.1.2,zb_f2405_tx_power_tooLow
41.2405.2.1.3,zb_f2405_tx_power_tooHigh
41.2,zb_rx
41.2.1,zb_rx_per
41.2.1.2405,zb_rx_per_f2405
41.2.1.2405.90,zb_rx_per_f2405_p-90
41.2.1.2405.90.1,zb_rx_per_f2405_p-90_tooLow
41.2.1.2405.90.2,zb_rx_per_f2405_p-90_tooHigh
41.3,zb_tx
41.3.1,zb_tx_power
41.3.1.2405,zb_tx_power_f2405
41.3.1.2405.1,zb_tx_power_f2405_tooLow
41.3.1.2405.2,zb_tx_power_f2405_tooHigh
,24
