2023-03-27 07:24:06.298:   ITEM[sn_ok] - FUNCTION[CheckDutInfoProxy]
2023-03-27 07:24:18.365:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:18.366:   [Cmd] Request timed out.
2023-03-27 07:24:18.366:   [Cmd] 
2023-03-27 07:24:18.366:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:18.366:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:18.366:   [Cmd] ------------------------------------
2023-03-27 07:24:18.367:   [Cmd] ------------------------------------ 4
2023-03-27 07:24:18.367:   [Cmd] Send command: arp -d
2023-03-27 07:24:18.600:   [Cmd] 
2023-03-27 07:24:18.601:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:22.363:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:22.363:   [Cmd] Request timed out.
2023-03-27 07:24:22.363:   [Cmd] 
2023-03-27 07:24:22.363:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:22.363:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:22.364:   [Cmd] ------------------------------------
2023-03-27 07:24:22.364:   [Cmd] ------------------------------------ 5
2023-03-27 07:24:22.364:   [Cmd] Send command: arp -d
2023-03-27 07:24:22.603:   [Cmd] 
2023-03-27 07:24:22.603:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:26.372:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:26.372:   [Cmd] Request timed out.
2023-03-27 07:24:26.372:   [Cmd] 
2023-03-27 07:24:26.373:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:26.373:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:26.373:   [Cmd] ------------------------------------
2023-03-27 07:24:26.373:   [Cmd] ------------------------------------ 6
2023-03-27 07:24:26.373:   [Cmd] Send command: arp -d
2023-03-27 07:24:26.613:   [Cmd] 
2023-03-27 07:24:26.614:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:30.364:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:30.364:   [Cmd] Request timed out.
2023-03-27 07:24:30.364:   [Cmd] 
2023-03-27 07:24:30.364:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:30.365:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:30.365:   [Cmd] ------------------------------------
2023-03-27 07:24:30.365:   [Cmd] ------------------------------------ 7
2023-03-27 07:24:30.365:   [Cmd] Send command: arp -d
2023-03-27 07:24:30.606:   [Cmd] 
2023-03-27 07:24:30.607:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:34.362:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:34.362:   [Cmd] Request timed out.
2023-03-27 07:24:34.362:   [Cmd] 
2023-03-27 07:24:34.362:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:34.362:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:34.363:   [Cmd] ------------------------------------
2023-03-27 07:24:34.363:   [Cmd] ------------------------------------ 8
2023-03-27 07:24:34.363:   [Cmd] Send command: arp -d
2023-03-27 07:24:34.602:   [Cmd] 
2023-03-27 07:24:34.602:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:38.370:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:38.370:   [Cmd] Request timed out.
2023-03-27 07:24:38.370:   [Cmd] 
2023-03-27 07:24:38.370:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:38.371:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:38.371:   [Cmd] ------------------------------------
2023-03-27 07:24:38.371:   [Cmd] ------------------------------------ 9
2023-03-27 07:24:38.371:   [Cmd] Send command: arp -d
2023-03-27 07:24:38.611:   [Cmd] 
2023-03-27 07:24:38.612:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:42.373:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:42.373:   [Cmd] Request timed out.
2023-03-27 07:24:42.374:   [Cmd] 
2023-03-27 07:24:42.374:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:42.374:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:42.374:   [Cmd] ------------------------------------
2023-03-27 07:24:42.374:   [Cmd] ------------------------------------ 10
2023-03-27 07:24:42.374:   [Cmd] Send command: arp -d
2023-03-27 07:24:42.606:   [Cmd] 
2023-03-27 07:24:42.606:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:46.362:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:46.362:   [Cmd] Request timed out.
2023-03-27 07:24:46.362:   [Cmd] 
2023-03-27 07:24:46.362:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:46.363:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:46.363:   [Cmd] ------------------------------------
2023-03-27 07:24:46.363:   [Cmd] ------------------------------------ 11
2023-03-27 07:24:46.363:   [Cmd] Send command: arp -d
2023-03-27 07:24:46.594:   [Cmd] 
2023-03-27 07:24:46.595:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:50.373:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:50.373:   [Cmd] Request timed out.
2023-03-27 07:24:50.374:   [Cmd] 
2023-03-27 07:24:50.374:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:50.374:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:50.374:   [Cmd] ------------------------------------
2023-03-27 07:24:50.374:   [Cmd] ------------------------------------ 12
2023-03-27 07:24:50.374:   [Cmd] Send command: arp -d
2023-03-27 07:24:50.604:   [Cmd] 
2023-03-27 07:24:50.604:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:54.370:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:54.370:   [Cmd] Request timed out.
2023-03-27 07:24:54.370:   [Cmd] 
2023-03-27 07:24:54.370:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:54.370:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:54.371:   [Cmd] ------------------------------------
2023-03-27 07:24:54.371:   [Cmd] ------------------------------------ 13
2023-03-27 07:24:54.371:   [Cmd] Send command: arp -d
2023-03-27 07:24:54.602:   [Cmd] 
2023-03-27 07:24:54.602:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:24:58.362:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:24:58.362:   [Cmd] Request timed out.
2023-03-27 07:24:58.363:   [Cmd] 
2023-03-27 07:24:58.363:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:24:58.363:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:24:58.363:   [Cmd] ------------------------------------
2023-03-27 07:24:58.363:   [Cmd] ------------------------------------ 14
2023-03-27 07:24:58.363:   [Cmd] Send command: arp -d
2023-03-27 07:24:58.593:   [Cmd] 
2023-03-27 07:24:58.593:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:02.359:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:02.359:   [Cmd] Request timed out.
2023-03-27 07:25:02.359:   [Cmd] 
2023-03-27 07:25:02.359:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:02.360:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:02.360:   [Cmd] ------------------------------------
2023-03-27 07:25:02.360:   [Cmd] ------------------------------------ 15
2023-03-27 07:25:02.360:   [Cmd] Send command: arp -d
2023-03-27 07:25:02.589:   [Cmd] 
2023-03-27 07:25:02.589:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:06.362:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:06.362:   [Cmd] Request timed out.
2023-03-27 07:25:06.362:   [Cmd] 
2023-03-27 07:25:06.363:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:06.363:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:06.363:   [Cmd] ------------------------------------
2023-03-27 07:25:06.363:   [Cmd] ------------------------------------ 16
2023-03-27 07:25:06.363:   [Cmd] Send command: arp -d
2023-03-27 07:25:06.596:   [Cmd] 
2023-03-27 07:25:06.596:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:10.366:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:10.366:   [Cmd] Request timed out.
2023-03-27 07:25:10.366:   [Cmd] 
2023-03-27 07:25:10.366:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:10.366:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:10.366:   [Cmd] ------------------------------------
2023-03-27 07:25:10.366:   [Cmd] ------------------------------------ 17
2023-03-27 07:25:10.366:   [Cmd] Send command: arp -d
2023-03-27 07:25:10.597:   [Cmd] 
2023-03-27 07:25:10.597:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:14.362:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:14.362:   [Cmd] Request timed out.
2023-03-27 07:25:14.362:   [Cmd] 
2023-03-27 07:25:14.362:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:14.363:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:14.363:   [Cmd] ------------------------------------
2023-03-27 07:25:14.363:   [Cmd] ------------------------------------ 18
2023-03-27 07:25:14.363:   [Cmd] Send command: arp -d
2023-03-27 07:25:14.593:   [Cmd] 
2023-03-27 07:25:14.593:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:18.363:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:18.363:   [Cmd] Request timed out.
2023-03-27 07:25:18.363:   [Cmd] 
2023-03-27 07:25:18.364:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:18.364:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:18.364:   [Cmd] ------------------------------------
2023-03-27 07:25:18.364:   [Cmd] ------------------------------------ 19
2023-03-27 07:25:18.364:   [Cmd] Send command: arp -d
2023-03-27 07:25:18.595:   [Cmd] 
2023-03-27 07:25:18.596:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:22.361:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:22.361:   [Cmd] Request timed out.
2023-03-27 07:25:22.361:   [Cmd] 
2023-03-27 07:25:22.361:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:22.361:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:22.362:   [Cmd] ------------------------------------
2023-03-27 07:25:22.362:   [Cmd] ------------------------------------ 20
2023-03-27 07:25:22.362:   [Cmd] Send command: arp -d
2023-03-27 07:25:22.593:   [Cmd] 
2023-03-27 07:25:22.594:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:26.373:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:26.373:   [Cmd] Request timed out.
2023-03-27 07:25:26.373:   [Cmd] 
2023-03-27 07:25:26.373:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:26.374:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:26.374:   [Cmd] ------------------------------------
2023-03-27 07:25:26.374:   [Cmd] ------------------------------------ 21
2023-03-27 07:25:26.374:   [Cmd] Send command: arp -d
2023-03-27 07:25:26.604:   [Cmd] 
2023-03-27 07:25:26.604:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:30.360:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:30.360:   [Cmd] Request timed out.
2023-03-27 07:25:30.361:   [Cmd] 
2023-03-27 07:25:30.361:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:30.361:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:30.361:   [Cmd] ------------------------------------
2023-03-27 07:25:30.361:   [Cmd] ------------------------------------ 22
2023-03-27 07:25:30.361:   [Cmd] Send command: arp -d
2023-03-27 07:25:30.593:   [Cmd] 
2023-03-27 07:25:30.593:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:34.367:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:34.367:   [Cmd] Request timed out.
2023-03-27 07:25:34.367:   [Cmd] 
2023-03-27 07:25:34.368:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:34.368:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:34.368:   [Cmd] ------------------------------------
2023-03-27 07:25:34.368:   [Cmd] ------------------------------------ 23
2023-03-27 07:25:34.368:   [Cmd] Send command: arp -d
2023-03-27 07:25:34.599:   [Cmd] 
2023-03-27 07:25:34.599:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:38.369:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:38.369:   [Cmd] Request timed out.
2023-03-27 07:25:38.369:   [Cmd] 
2023-03-27 07:25:38.369:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:38.369:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:38.370:   [Cmd] ------------------------------------
2023-03-27 07:25:38.370:   [Cmd] ------------------------------------ 24
2023-03-27 07:25:38.370:   [Cmd] Send command: arp -d
2023-03-27 07:25:38.611:   [Cmd] 
2023-03-27 07:25:38.611:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:42.360:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:42.360:   [Cmd] Request timed out.
2023-03-27 07:25:42.361:   [Cmd] 
2023-03-27 07:25:42.361:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:42.361:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:42.361:   [Cmd] ------------------------------------
2023-03-27 07:25:42.361:   [Cmd] ------------------------------------ 25
2023-03-27 07:25:42.361:   [Cmd] Send command: arp -d
2023-03-27 07:25:42.602:   [Cmd] 
2023-03-27 07:25:42.603:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:46.372:   [Cmd] Pinging 192.168.1.1 with 32 bytes of data:
2023-03-27 07:25:46.372:   [Cmd] Request timed out.
2023-03-27 07:25:46.372:   [Cmd] 
2023-03-27 07:25:46.373:   [Cmd] Ping statistics for 192.168.1.1:
2023-03-27 07:25:46.373:   [Cmd] Packets: Sent = 1, Received = 0, Lost = 1 (100% loss),
2023-03-27 07:25:46.373:   [Cmd] ------------------------------------
2023-03-27 07:25:46.373:   [Cmd] ------------------------------------ 26
2023-03-27 07:25:46.373:   [Cmd] Send command: arp -d
2023-03-27 07:25:46.614:   [Cmd] 
2023-03-27 07:25:46.614:   [Cmd] Send command: ping 192.168.1.1 -n 1
2023-03-27 07:25:47.573:   This function will be stopped! Because it has timed out!
2023-03-27 07:25:47.573:   Spec: 100 S
2023-03-27 07:25:47.573:   Try to stop!!
2023-03-27 07:25:47.573:   Time: 101.275 S
2023-03-27 07:25:49.099:   This function will be stopped! Because it has timed out!
2023-03-27 07:25:49.099:   Spec: 100 S
2023-03-27 07:25:49.099:   Try to stop!!
2023-03-27 07:25:49.099:   Time: 102.801 S
2023-03-27 07:25:50.372:   [Cmd] ------------------------------------
2023-03-27 07:25:50.373:   [PC] ping time: 104.044 S
2023-03-27 07:25:50.373:   This function will be stopped! Because it has timed out!
2023-03-27 07:25:50.373:   Spec: 100 S
2023-03-27 07:25:50.373:   Try to stop!!
2023-03-27 07:25:50.373:   Time: 104.075 S
2023-03-27 07:25:52.376:   ****************************************************
2023-03-27 07:25:52.376:   Item name = sn_ok
2023-03-27 07:25:52.376:   Value = failed
2023-03-27 07:25:52.376:   Test status = failed
2023-03-27 07:25:52.376:   -----------------------------------------------------
2023-03-27 07:25:52.377:   Error code = -1
2023-03-27 07:25:52.377:   Error des = sn_ok
2023-03-27 07:25:52.377:   Local error code = 30.1.0
2023-03-27 07:25:52.377:   Local error des = sn_ok
2023-03-27 07:25:52.377:   ****************************************************
2023-03-27 07:25:52.377:   TIME[106.079 s] - STATUS[FAILED]
